date,pageviews,printings,clicks,rpm,rpmp,activeviews,earns
4/10/2018,20,20,0,"0,02","0,02","100,00%","0,00"
4/11/2018,26,22,0,"0,00","0,00","100,00%","0,00"
4/12/2018,12,11,0,"0,01","0,01","100,00%","0,00"
4/13/2018,14,14,0,"0,00","0,00","92,86%","0,00"
4/14/2018,23,23,0,"0,00","0,00","100,00%","0,00"
4/15/2018,31,28,0,"0,00","0,00","96,15%","0,00"
4/16/2018,8,8,0,"0,04","0,04","100,00%","0,00"
4/17/2018,43,42,0,"0,01","0,01","100,00%","0,00"
4/18/2018,26,24,0,"0,00","0,00","100,00%","0,00"
4/19/2018,5,4,0,"0,00","0,00","100,00%","0,00"
4/20/2018,15,13,0,"0,37","0,43","100,00%","0,01"
4/21/2018,32,32,0,"0,24","0,24","100,00%","0,01"
4/22/2018,21,19,0,"0,00","0,00","100,00%","0,00"
4/23/2018,15,15,0,"0,00","0,00","100,00%","0,00"
4/24/2018,36,36,1,"1,55","1,55","97,14%","0,06"
4/25/2018,32,31,1,"0,59","0,61","100,00%","0,02"
4/26/2018,26,25,0,"0,06","0,06","100,00%","0,00"
4/27/2018,25,25,1,"4,43","4,43","100,00%","0,11"
4/28/2018,30,28,0,"0,14","0,15","100,00%","0,00"
4/29/2018,51,51,0,"0,02","0,02","100,00%","0,00"
4/30/2018,32,31,0,"0,04","0,04","93,55%","0,00"
5/1/2018,43,40,0,"0,09","0,09","100,00%","0,00"
5/2/2018,9,9,0,"0,01","0,01","100,00%","0,00"
5/3/2018,12,10,0,"0,02","0,03","87,50%","0,00"
5/4/2018,29,27,1,"0,02","0,02","73,08%","0,00"
5/5/2018,28,27,2,"4,30","4,46","88,00%","0,12"
5/6/2018,15,14,0,"0,01","0,01","100,00%","0,00"
5/7/2018,30,28,0,"0,03","0,03","92,59%","0,00"
5/8/2018,34,32,1,"1,26","1,33","92,86%","0,04"
5/9/2018,29,22,0,"0,03","0,03","90,00%","0,00"
5/10/2018,34,34,0,"0,04","0,04","93,94%","0,00"
5/11/2018,44,42,1,"0,88","0,92","97,37%","0,04"
5/12/2018,29,29,0,"0,02","0,02","92,86%","0,00"
5/13/2018,17,17,0,"0,09","0,09","100,00%","0,00"
5/14/2018,19,18,0,"0,05","0,06","75,00%","0,00"
5/15/2018,22,20,3,"4,05","4,46","100,00%","0,09"
5/16/2018,20,20,1,"6,56","6,56","94,12%","0,13"
5/17/2018,21,20,0,"0,10","0,11","100,00%","0,00"
5/18/2018,13,13,2,"0,40","0,40","91,67%","0,01"
5/19/2018,13,13,1,"0,10","0,10","90,00%","0,00"
5/20/2018,28,26,0,"0,27","0,29","96,15%","0,01"
5/21/2018,34,34,1,"1,88","1,88","100,00%","0,06"
5/22/2018,44,43,1,"4,20","4,29","95,12%","0,18"
5/23/2018,23,23,1,"1,58","1,58","100,00%","0,04"
5/24/2018,11,10,0,"0,12","0,13","100,00%","0,00"
5/25/2018,22,21,0,"0,09","0,10","75,00%","0,00"
5/26/2018,30,28,1,"1,91","2,05","100,00%","0,06"
5/27/2018,18,18,0,"0,15","0,15","93,75%","0,00"
5/28/2018,34,33,0,"0,10","0,11","96,77%","0,00"
5/29/2018,17,16,0,"0,06","0,06","92,86%","0,00"
5/30/2018,52,51,1,"0,12","0,12","74,47%","0,01"
5/31/2018,31,30,0,"0,14","0,15","100,00%","0,00"
6/1/2018,15,15,0,"0,20","0,20","78,57%","0,00"
6/2/2018,24,24,0,"0,27","0,27","82,61%","0,01"
6/3/2018,44,43,0,"0,07","0,07","100,00%","0,00"
6/4/2018,20,19,0,"0,03","0,04","84,21%","0,00"
6/5/2018,77,76,0,"0,03","0,03","97,30%","0,00"
6/6/2018,38,38,2,"4,93","4,93","100,00%","0,19"
6/7/2018,30,30,0,"0,09","0,09","100,00%","0,00"
6/8/2018,53,53,1,"4,35","4,35","91,67%","0,23"
6/9/2018,15,13,0,"0,01","0,01","100,00%","0,00"
6/10/2018,21,21,0,"0,01","0,01","95,24%","0,00"
6/11/2018,44,43,3,"9,97","10,20","100,00%","0,44"
6/12/2018,37,37,0,"0,04","0,04","91,43%","0,00"
6/13/2018,13,13,0,"0,02","0,02","81,82%","0,00"
6/14/2018,14,13,4,"28,67","30,88","100,00%","0,40"
6/15/2018,23,22,0,"0,00","0,00","90,00%","0,00"
6/16/2018,31,28,2,"16,24","17,98","100,00%","0,50"
6/17/2018,26,25,2,"17,32","18,01","85,00%","0,45"
6/18/2018,18,18,0,"0,09","0,09","70,59%","0,00"
6/19/2018,44,39,0,"0,01","0,01","86,49%","0,00"
6/20/2018,56,47,2,"6,86","8,17","91,30%","0,38"
6/21/2018,48,47,2,"3,14","3,21","93,62%","0,15"
6/22/2018,27,27,0,"0,00","0,00","95,83%","0,00"
6/23/2018,27,27,0,"0,04","0,04","96,15%","0,00"
6/24/2018,23,22,1,"0,65","0,68","90,48%","0,01"
6/25/2018,54,53,0,"0,03","0,03","93,75%","0,00"
6/26/2018,32,31,1,"3,83","3,95","90,00%","0,12"
6/27/2018,33,33,3,"3,29","3,29","93,75%","0,11"
6/28/2018,24,24,0,"0,08","0,08","95,00%","0,00"
6/29/2018,39,38,1,"2,94","3,01","86,49%","0,11"
6/30/2018,47,47,2,"10,01","10,01","97,78%","0,47"
7/1/2018,30,29,0,"0,00","0,00","93,10%","0,00"
7/2/2018,21,20,0,"0,11","0,12","85,00%","0,00"
7/3/2018,34,32,0,"0,02","0,02","96,77%","0,00"
7/4/2018,26,23,3,"28,97","32,75","91,30%","0,75"
7/5/2018,59,56,1,"0,14","0,14","78,18%","0,01"
7/6/2018,61,61,0,"0,13","0,13","89,47%","0,01"
7/7/2018,49,47,0,"0,02","0,03","89,13%","0,00"
7/8/2018,44,42,1,"0,63","0,66","95,12%","0,03"
7/9/2018,24,23,0,"0,00","0,00","86,36%","0,00"
7/10/2018,47,45,1,"0,04","0,05","77,27%","0,00"
7/11/2018,35,34,0,"0,03","0,03","81,82%","0,00"
7/12/2018,32,32,0,"0,27","0,27","93,10%","0,01"
7/13/2018,30,29,0,"0,05","0,05","96,30%","0,00"
7/14/2018,26,26,0,"0,02","0,02","90,48%","0,00"
7/15/2018,13,13,0,"0,06","0,06","100,00%","0,00"
7/16/2018,29,28,0,"0,03","0,03","100,00%","0,00"
7/17/2018,62,61,0,"0,07","0,07","100,00%","0,00"
